모델명,제품군,화면크기,해상도,밝기,주요기능,설치방식,가이드공급가,최소수량
MX-98P,대형디스플레이,98인치,4K,500nit,무선화면공유·HDMI 3,벽걸이,7900000,1
MX-85P,대형디스플레이,85인치,4K,500nit,무선화면공유·HDMI 3,벽걸이,4200000,1
MX-75P,대형디스플레이,75인치,4K,500nit,무선화면공유·HDMI 3,벽걸이,2950000,1
MX-65P,대형디스플레이,65인치,4K,500nit,무선화면공유·HDMI 3,벽걸이,1880000,1
BX-65S,사이니지,65인치,4K,400nit,HDMI 2,벽걸이/스탠드,1480000,2
BX-55S,사이니지,55인치,4K,400nit,HDMI 2,벽걸이/스탠드,1050000,2
BX-43S,사이니지,43인치,FHD,350nit,HDMI 2,벽걸이,780000,2
HX-55T,호텔TV,55인치,4K,300nit,호텔모드,벽걸이/스탠드,610000,10
HX-50T,호텔TV,50인치,4K,300nit,호텔모드,벽걸이/스탠드,520000,10
HX-43T,호텔TV,43인치,FHD,300nit,호텔모드,벽걸이/스탠드,420000,10
KX-55K,키오스크,55인치,4K,500nit,터치·스탠드형,스탠드,2600000,1
KX-43K,키오스크,43인치,FHD,450nit,터치·스탠드형,스탠드,1950000,1
