고객사코드,고객사명,업종,임직원수,지역,담당경로,최근거래품목군,최근거래일,거래상태,담당자(가명)
A001,가온건설,건설,4200,서울,대기업,IT제품,2026-03-05,기존,담당자 1
A002,한빛전자,제조,3100,경기,대기업,SAC,2026-08-06,기존,담당자 2
A003,너울금융지주,금융,2600,서울,대기업,가전,2026-03-04,신규,담당자 3
A004,미르통신,통신,5400,서울,대기업,SAC,2026-02-20,신규,담당자 4
A005,새벽유통,유통,1800,경기,대기업,DID,2026-01-15,휴면,담당자 5
A006,다솜서비스,서비스,950,부산,대기업,가전,2026-04-26,기존,담당자 6
A007,온누리개발,건설,2200,인천,대기업,SAC,2026-04-08,휴면,담당자 7
A008,빛솔제약,제조,1400,충북,대기업,SAC,2026-06-22,기존,담당자 8
A009,터울에너지,제조,3600,울산,대기업,가전,2026-01-05,신규,담당자 9
A010,하람물산,유통,1100,대구,대기업,DID,2026-06-06,기존,담당자 0
A011,가람시청,관공서,800,경기,공공,모바일,2026-07-21,기존,담당자 1
A012,누리고등학교,초중고,120,서울,공공,DID,2026-06-16,기존,담당자 2
A013,슬기대학교,대학,1600,대전,공공,가전,2026-02-04,기존,담당자 3
A014,여울구청,관공서,640,서울,공공,SAC,2026-07-25,기존,담당자 4
A015,아름중학교,초중고,90,경기,공공,모바일,2026-07-22,휴면,담당자 5
