LeadID,고객사코드,고객사명,업종,담당경로,품목군,단계,발굴일,예상규모(백만원),확률(%),전환여부,마감예정월
L0001,A002,한빛전자,제조,대기업,SAC,BO,2026-06-04,320,25,N,2026-09
L0002,A010,하람물산,유통,대기업,모바일,Lead,2026-08-19,320,10,N,2026-09
L0003,A010,하람물산,유통,대기업,IT제품,제안,2026-09-25,180,45,N,2026-10
L0004,A008,빛솔제약,제조,대기업,IT제품,Lead,2026-06-18,45,10,N,2026-10
L0005,A013,슬기대학교,대학,공공,IT제품,Lead,2026-07-03,180,10,N,2026-12
L0006,A014,여울구청,관공서,공공,SAC,실주,2026-05-09,60,0,N,2026-12
L0007,A006,다솜서비스,서비스,대기업,SAC,Lead,2026-07-06,80,10,N,2026-11
L0008,A009,터울에너지,제조,대기업,가전,Lead,2026-08-28,180,10,N,2026-11
L0009,A001,가온건설,건설,대기업,가전,실주,2026-06-20,45,0,N,2026-11
L0010,A005,새벽유통,유통,대기업,SAC,BO,2026-06-12,240,25,N,2026-10
L0011,A013,슬기대학교,대학,공공,모바일,BO,2026-06-26,320,25,N,2026-09
L0012,A012,누리고등학교,초중고,공공,SAC,BO,2026-07-04,120,25,N,2026-12
L0013,A009,터울에너지,제조,대기업,DID,수주,2026-05-10,30,100,Y,2026-11
L0014,A004,미르통신,통신,대기업,모바일,Lead,2026-04-13,80,10,N,2026-12
L0015,A001,가온건설,건설,대기업,모바일,Lead,2026-04-04,320,10,N,2026-11
L0016,A006,다솜서비스,서비스,대기업,SAC,실주,2026-08-05,60,0,N,2026-11
L0017,A014,여울구청,관공서,공공,IT제품,수주,2026-05-08,320,100,Y,2026-12
L0018,A009,터울에너지,제조,대기업,IT제품,협상,2026-07-11,30,65,N,2026-10
L0019,A007,온누리개발,건설,대기업,IT제품,수주,2026-08-17,320,100,Y,2026-12
L0020,A012,누리고등학교,초중고,공공,IT제품,Lead,2026-05-21,45,10,N,2026-10
L0021,A009,터울에너지,제조,대기업,DID,수주,2026-09-02,60,100,Y,2026-09
L0022,A010,하람물산,유통,대기업,모바일,협상,2026-09-13,320,65,N,2026-11
L0023,A003,너울금융지주,금융,대기업,가전,BO,2026-05-01,60,25,N,2026-10
L0024,A013,슬기대학교,대학,공공,DID,BO,2026-05-27,180,25,N,2026-11
L0025,A007,온누리개발,건설,대기업,IT제품,실주,2026-06-23,240,0,N,2026-09
L0026,A008,빛솔제약,제조,대기업,모바일,BO,2026-05-20,45,25,N,2026-12
L0027,A013,슬기대학교,대학,공공,SAC,BO,2026-05-20,60,25,N,2026-11
L0028,A006,다솜서비스,서비스,대기업,SAC,수주,2026-06-14,120,100,Y,2026-11
L0029,A001,가온건설,건설,대기업,IT제품,BO,2026-09-22,45,25,N,2026-09
L0030,A013,슬기대학교,대학,공공,모바일,협상,2026-04-27,45,65,N,2026-10
L0031,A010,하람물산,유통,대기업,IT제품,실주,2026-09-25,30,0,N,2026-11
L0032,A004,미르통신,통신,대기업,가전,협상,2026-09-24,120,65,N,2026-10
L0033,A012,누리고등학교,초중고,공공,가전,제안,2026-05-01,45,45,N,2026-12
L0034,A011,가람시청,관공서,공공,SAC,BO,2026-06-26,80,25,N,2026-10
L0035,A001,가온건설,건설,대기업,SAC,BO,2026-07-14,180,25,N,2026-11
L0036,A010,하람물산,유통,대기업,가전,Lead,2026-05-10,60,10,N,2026-10
L0037,A005,새벽유통,유통,대기업,가전,실주,2026-07-23,120,0,N,2026-12
L0038,A005,새벽유통,유통,대기업,SAC,BO,2026-07-25,240,25,N,2026-12
L0039,A008,빛솔제약,제조,대기업,모바일,Lead,2026-05-12,30,10,N,2026-11
L0040,A005,새벽유통,유통,대기업,SAC,협상,2026-07-04,30,65,N,2026-09
L0041,A011,가람시청,관공서,공공,가전,Lead,2026-04-01,120,10,N,2026-09
L0042,A015,아름중학교,초중고,공공,IT제품,BO,2026-07-02,320,25,N,2026-11
L0043,A001,가온건설,건설,대기업,IT제품,수주,2026-05-14,120,100,Y,2026-09
L0044,A006,다솜서비스,서비스,대기업,IT제품,수주,2026-05-07,320,100,Y,2026-09
L0045,A002,한빛전자,제조,대기업,모바일,협상,2026-04-20,240,65,N,2026-12
L0046,A009,터울에너지,제조,대기업,가전,BO,2026-09-04,180,25,N,2026-09
L0047,A010,하람물산,유통,대기업,IT제품,Lead,2026-06-04,80,10,N,2026-09
L0048,A006,다솜서비스,서비스,대기업,SAC,제안,2026-05-10,240,45,N,2026-11
L0049,A008,빛솔제약,제조,대기업,SAC,Lead,2026-08-11,320,10,N,2026-10
L0050,A009,터울에너지,제조,대기업,IT제품,Lead,2026-07-17,180,10,N,2026-12
L0051,A002,한빛전자,제조,대기업,모바일,수주,2026-08-27,45,100,Y,2026-12
L0052,A008,빛솔제약,제조,대기업,가전,제안,2026-04-13,240,45,N,2026-11
L0053,A012,누리고등학교,초중고,공공,SAC,BO,2026-07-16,120,25,N,2026-10
L0054,A013,슬기대학교,대학,공공,가전,수주,2026-06-03,45,100,Y,2026-11
L0055,A015,아름중학교,초중고,공공,SAC,Lead,2026-06-15,45,10,N,2026-11
L0056,A011,가람시청,관공서,공공,SAC,제안,2026-05-14,45,45,N,2026-12
L0057,A009,터울에너지,제조,대기업,IT제품,제안,2026-06-13,60,45,N,2026-11
L0058,A013,슬기대학교,대학,공공,DID,제안,2026-07-04,120,45,N,2026-12
L0059,A012,누리고등학교,초중고,공공,모바일,제안,2026-05-15,320,45,N,2026-09
L0060,A005,새벽유통,유통,대기업,SAC,수주,2026-07-07,120,100,Y,2026-11
L0061,A015,아름중학교,초중고,공공,가전,수주,2026-07-06,240,100,Y,2026-09
L0062,A014,여울구청,관공서,공공,SAC,Lead,2026-05-22,320,10,N,2026-09
L0063,A003,너울금융지주,금융,대기업,IT제품,Lead,2026-08-14,320,10,N,2026-12
L0064,A011,가람시청,관공서,공공,가전,BO,2026-07-14,120,25,N,2026-12
L0065,A011,가람시청,관공서,공공,모바일,Lead,2026-04-08,30,10,N,2026-11
L0066,A015,아름중학교,초중고,공공,모바일,제안,2026-09-03,120,45,N,2026-12
