기준월,파트너코드,파트너명,등급,지역,품목군,매출(천원),수량,구독건수,해지건수
2026-07,PT01,새롬유통,A,서울,SAC,55842,87,0,0
2026-07,PT01,새롬유통,A,서울,DMFP,54982,40,14,2
2026-07,PT02,한결상사,A,경기,SAC,51562,47,0,0
2026-07,PT02,한결상사,A,경기,DMFP,54815,80,13,2
2026-07,PT03,도담네트웍스,B,인천,SAC,19848,20,0,0
2026-07,PT03,도담네트웍스,B,인천,DMFP,23256,21,38,1
2026-07,PT04,빛가람오피스,B,광주,SAC,22743,16,0,0
2026-07,PT04,빛가람오피스,B,광주,DMFP,16321,14,39,1
2026-07,PT05,다온솔루션,B,부산,SAC,24399,32,0,0
2026-07,PT05,다온솔루션,B,부산,DMFP,21647,27,13,0
2026-07,PT06,너나들이상사,C,대구,SAC,7284,7,0,0
2026-07,PT06,너나들이상사,C,대구,DMFP,8003,11,22,5
2026-07,PT07,아라오피스,C,대전,SAC,9681,15,0,0
2026-07,PT07,아라오피스,C,대전,DMFP,9166,6,29,0
2026-07,PT08,은가람테크,C,경기,SAC,9132,12,0,0
2026-07,PT08,은가람테크,C,경기,DMFP,11927,12,33,2
2026-07,PT09,포근물산,B,서울,SAC,15190,22,0,0
2026-07,PT09,포근물산,B,서울,DMFP,25231,26,16,5
2026-07,PT10,산들컴퍼니,C,충남,SAC,10344,10,0,0
2026-07,PT10,산들컴퍼니,C,충남,DMFP,6604,7,38,2
2026-08,PT01,새롬유통,A,서울,SAC,32292,38,0,0
2026-08,PT01,새롬유통,A,서울,DMFP,30106,36,9,4
2026-08,PT02,한결상사,A,경기,SAC,45049,59,0,0
2026-08,PT02,한결상사,A,경기,DMFP,49493,49,37,0
2026-08,PT03,도담네트웍스,B,인천,SAC,14759,12,0,0
2026-08,PT03,도담네트웍스,B,인천,DMFP,27916,22,32,1
2026-08,PT04,빛가람오피스,B,광주,SAC,26586,22,0,0
2026-08,PT04,빛가람오피스,B,광주,DMFP,29077,27,24,4
2026-08,PT05,다온솔루션,B,부산,SAC,25325,36,0,0
2026-08,PT05,다온솔루션,B,부산,DMFP,22359,17,8,5
2026-08,PT06,너나들이상사,C,대구,SAC,11091,10,0,0
2026-08,PT06,너나들이상사,C,대구,DMFP,8528,9,32,5
2026-08,PT07,아라오피스,C,대전,SAC,8676,7,0,0
2026-08,PT07,아라오피스,C,대전,DMFP,10261,11,7,0
2026-08,PT08,은가람테크,C,경기,SAC,7214,5,0,0
2026-08,PT08,은가람테크,C,경기,DMFP,7677,10,12,1
2026-08,PT09,포근물산,B,서울,SAC,22201,20,0,0
2026-08,PT09,포근물산,B,서울,DMFP,28094,34,15,1
2026-08,PT10,산들컴퍼니,C,충남,SAC,11103,10,0,0
2026-08,PT10,산들컴퍼니,C,충남,DMFP,11213,16,38,1
2026-09,PT01,새롬유통,A,서울,SAC,57877,68,0,0
2026-09,PT01,새롬유통,A,서울,DMFP,52049,47,6,1
2026-09,PT02,한결상사,A,경기,SAC,46126,43,0,0
2026-09,PT02,한결상사,A,경기,DMFP,37108,29,12,1
2026-09,PT03,도담네트웍스,B,인천,SAC,20372,16,0,0
2026-09,PT03,도담네트웍스,B,인천,DMFP,18280,24,7,2
2026-09,PT04,빛가람오피스,B,광주,SAC,22978,18,0,0
2026-09,PT04,빛가람오피스,B,광주,DMFP,20953,24,27,0
2026-09,PT05,다온솔루션,B,부산,SAC,16158,21,0,0
2026-09,PT05,다온솔루션,B,부산,DMFP,22814,22,36,4
2026-09,PT06,너나들이상사,C,대구,SAC,8530,11,0,0
2026-09,PT06,너나들이상사,C,대구,DMFP,7845,6,17,0
2026-09,PT07,아라오피스,C,대전,SAC,11281,14,0,0
2026-09,PT07,아라오피스,C,대전,DMFP,11732,10,26,1
2026-09,PT08,은가람테크,C,경기,SAC,8367,12,0,0
2026-09,PT08,은가람테크,C,경기,DMFP,8449,13,12,1
2026-09,PT09,포근물산,B,서울,SAC,23525,17,0,0
2026-09,PT09,포근물산,B,서울,DMFP,20049,15,7,4
2026-09,PT10,산들컴퍼니,C,충남,SAC,10581,14,0,0
2026-09,PT10,산들컴퍼니,C,충남,DMFP,8386,11,17,5
